OBJECTID,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,COLOUR_1,COLOUR_2,CONSIS_DRY,CONSIS_MST,CONSIS_PLS,CONSIS_WET,MOTTLE_FRQ,MOTTLE_SZE,ROOT_FREQ,ROOT_LOCTN,ROOT_ORIEN,ROOT_THICK,S_PRM_GRAD,S_PRM_KIND,S_PRM_MOD,S_PRM_SIZE,S_SEC_GRAD,S_SEC_KIND,S_SEC_MOD,S_SEC_SIZE,SALINITY,EFFERVESC
46,1191,4,76,122,100yr5030," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
47,1191,5,122,157,100yr5020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
48,1191,6,157,183,100yr5040," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
49,1202,1,0,56,100yr3010," ",Soft," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
50,1202,2,56,86,100yr3020," ",Soft," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
51,1202,3,86,122,100yr4040," "," ",Firm," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
52,1202,4,122,152,100yr5040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
53,1202,5,152,168,100yr6020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
54,1258,1,0,43,100yr2510," "," ",Friable," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," "," "
55,1258,2,43,53,100yr5020," "," ",Friable," "," "," "," "," "," "," "," "," ",Granular," "," "," "," "," "," "," "," "
56,1258,3,53,79,100yr5040," ","Slightly hard"," "," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
57,1258,4,79,117,100yr5535," "," ",Friable," "," "," "," "," "," "," "," "," ",Prismatic," ",Coarse," "," "," "," "," "," "
58,1258,5,117,152,100yr6020," "," "," "," "," "," "," "," "," "," "," "," ",Massive," "," "," "," "," "," "," "," "
59,1258,6,152," ",100yr6020," "," "," "," "," "," "," "," "," "," "," "," ",Massive," "," "," "," "," "," "," "," "
60,1269,1,0,25,100yr2010," "," "," "," "," "," "," "," "," "," "," "," ",Granular," "," "," "," "," "," "," "," "
61,1269,2,25,30,100yr3010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
62,1269,3,30,61,100yr3020," "," "," "," "," "," "," "," "," "," "," "," ",Prismatic," ",Coarse," "," "," "," "," "," "
63,1269,4,61,91,100yr4020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
64,1269,5,91,122,100yr4010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
65,1280,1,0,41,100yr2020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
66,1280,2,41,48,100yr4020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
67,1280,3,48,71,100yr3020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
68,1280,4,71,97,100yr3030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
69,1280,5,97,112,100yr4040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
70,1280,6,112,127,100yr4030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
71,1302,1,0,46,100yr2020," "," ",Friable," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," "," "
72,1302,2,46,71,100yr4040," "," "," "," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
73,1302,3,71,102,100yr5040," "," "," "," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
74,1302,4,102,152,100yr4020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
75,1302,5,152,168,100yr4020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
76,1369,1,3,0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
77,1369,2,0,10,100yr2010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
78,1369,3,10,30,100yr4020," "," "," "," "," "," "," "," "," "," "," "," ",Platy," "," "," "," "," "," "," "," "
79,1369,4,30,36,100yr5020," "," "," "," "," "," "," "," "," "," "," "," ",Platy," "," "," "," "," "," "," "," "
80,1369,5,36,74,100yr4040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
81,1369,6,74,114,100yr4020," "," "," "," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
82,1369,7,114,157,100yr3030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
83,1369,8,157,211,100yr3020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
84,1435,1,0,8,100yr5040," "," "," "," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
85,1435,2,8,15,100yr6030," "," "," "," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
86,1435,3,15,23,100yr3020," "," "," "," "," "," "," "," "," "," "," "," ","Angular blocky"," "," "," "," "," "," "," "," "
87,1435,4,23,38,100yr4020," "," "," "," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Medium," "," "," "," "," "," "
88,1435,5,38,66,100yr5020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
89,1435,6,66," ",100yr6020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
90,1469,1,0,10,100yr3020," "," ",Loose," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
91,1469,2,10,20,100yr4020," "," ",Friable," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
92,1469,3,20,41,100yr3020," "," ",Friable," "," "," "," "," "," "," "," "," ","Sub-angular blocky"," ",Medium," "," "," "," "," "," "
93,1469,4,41,53,100yr4020," "," ",Friable," "," "," "," "," "," "," "," ",Weak,"Sub-angular blocky"," "," "," "," "," "," "," "," "
94,1469,5,53,71,100yr4030," "," ",Friable," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
95,1469,6,71,102,100yr5030," "," ",Friable," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
96,1469,7,102,122,100yr5030," "," ",Friable," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
97,1580,1,5,0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
98,1580,2,0,10,100yr3020," "," "," "," "," "," "," "," "," "," "," ",Weak,Platy," "," "," "," "," "," "," "," "
99,1580,3,10,18,100yr4020," "," "," "," "," "," "," "," "," "," "," ",Weak,Platy," "," "," "," "," "," "," "," "
100,1580,4,18,28,100yr3040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
101,1580,5,28,69,100yr4040," "," "," "," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
102,1580,6,69,120,100yr5020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
103,1580,7,120,168,100yr4040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
104,1602,1,0,8," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
105,1602,2,8,18," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
106,1602,3,18,51," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
107,1602,4,51,102," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
108,1602,5,102,122," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
109,1602,6,122,163," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
110,1691,1,0,5,100yr3010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
111,1691,2,5,41,"025y 3000"," "," "," "," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," "," "
112,1691,3,41,61,100yr4020," "," "," "," "," "," "," "," "," "," "," "," ",Granular," ","Very fine"," "," "," "," "," "," "
113,1691,4,61,71,100yr6020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
114,1691,5,71,81,100yr5020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
115,1691,6,81,122,100yr6040," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
116,1702,1,0,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
117,1702,2,5,13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
118,1702,3,13,36," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
119,1702,4,36,64," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
120,1702,5,64,147," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
121,1702,6,147,168," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
122,1724,1,0,10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
123,1724,2,10,25," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
124,1724,3,25,41," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
125,1724,4,41,51," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
126,1724,5,51,66," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
127,1724,6,66,122," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
128,1724,7,122,168," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
129,1746,1,20,0,100yr3040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
130,1746,2,0,10,100yr5020," "," ",Friable," "," "," "," "," "," "," "," ",Weak,Platy," "," "," "," "," "," "," "," "
131,1746,3,10,18,100yr6020," "," ",Friable," "," "," "," "," "," "," "," ",Weak,Platy," "," "," "," "," "," "," "," "
132,1746,4,18,20,100yr4020," "," ",Firm," "," "," "," "," "," "," "," "," ",Massive," "," "," "," "," "," "," "," "
133,1746,5,20,51,"025y 3520"," "," "," "," ",Sticky," "," "," "," "," "," "," ",Massive," "," "," "," "," "," "," "," "
134,1746,6,51,81,"025y 3520"," "," "," "," ",Sticky," "," "," "," "," "," "," ",Massive," "," "," "," "," "," "," "," "
135,1746,7,81,112," "," "," "," "," ",Sticky," "," "," "," "," "," "," ",Massive," "," "," "," "," "," "," "," "
136,1757,1,18,0,100yr4030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
137,1757,2,0,18,075yr2000," "," "," "," "," "," "," "," "," "," "," "," ",Granular," "," "," "," "," "," "," "," "
138,1757,3,18,38,075yr2500," "," "," "," "," "," "," "," "," "," "," "," ",Granular," "," "," "," "," "," "," "," "
139,1757,4,38,64,"025y 4040"," ",Soft," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
140,1757,5,64,74,"025y 4040"," ",Soft," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
141,1791,1,0,5,100yr4030," "," "," "," "," "," "," "," "," "," "," "," ",Granular," "," "," "," "," "," "," "," "
142,1791,2,5,25,100yr4030,100yr5030," "," "," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
143,1791,3,25,46,100yr6020,100yr7020," "," "," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
144,1791,4,46,91,100yr6020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
145,1791,5,91,122,100yr5020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
146,1791,6,122,198,100yr5030," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
147,1857,1,10,0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
148,1857,2,0,18," "," "," ",Friable," "," "," "," "," "," "," "," "," ",Platy," ",Coarse," "," "," "," "," "," "
149,1857,3,18,25,"025y 4020"," "," ",Firm," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Coarse," "," "," "," "," "," "
150,1857,4,25,38,"025y 3020"," "," ",Firm," "," "," "," "," "," "," "," "," ","Sub-angular blocky"," "," "," "," "," "," "," "," "
151,1857,5,38,76,"050y 3020"," "," ",Firm," "," "," "," "," "," "," "," "," ","Sub-angular blocky"," "," "," "," "," "," "," "," "
152,1857,6,76,91,"025y 4040"," "," ",Firm," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
153,1857,7,91,122,"025y 3020"," "," ",Firm," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
154,1868,1,8,0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
155,1868,2,0,23,100yr4030," "," "," "," "," "," "," "," "," "," "," "," ",Platy," ",Coarse," "," "," "," "," "," "
156,1868,3,23,30,100yr4030," "," ",Friable," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Coarse," "," "," "," "," "," "
157,1868,4,30,51,100yr4020," "," ",Friable," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Medium," "," "," "," "," "," "
158,1868,5,51,127,100yr4020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
159,1868,6,127,152,100yr4020," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
160,1868,7,152," ",100yr4030," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
161,1879,1,0,4,100yr2010," "," ",Loose," "," "," "," "," "," "," "," "," ",Granular," "," "," "," "," "," "," "," "
162,1879,2,4,20," "," "," ",Firm," "," "," "," "," "," "," "," "," ",Platy," "," "," "," "," "," "," "," "
163,1879,3,20,52,100yr4030," "," "," "," "," "," "," "," "," "," "," ",Weak,"Angular blocky"," ",Coarse," "," "," "," "," "," "
164,1879,4,52,76,"025y 4020"," "," ",Firm," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Coarse," "," "," "," "," "," "
165,1879,5,76,124,"025y 5060"," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
166,1900,1,0,14,"025y 2000"," ",Soft,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
167,1900,2,14,24,"025y 4000"," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
168,1900,3,24," ","025y 5020"," ",Loose,Loose," "," ",Common,Medium," "," "," "," ",None,"Sub-angular blocky"," "," "," "," "," "," "," "," "
169,1901,1,0,22,100yr2020," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
170,1901,2,22,64,100yr4030," ",Loose,Loose," "," ",Few,Fine," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
171,1901,3,64," ",100yr6030," ",Loose,Loose," "," ",Common,Medium," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
172,1902,1,0,8,100yr2010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
173,1902,2,8,36,100yr3020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
174,1902,3,36,48,100yr4030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
175,1902,4,48,69,100yr5040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
176,1902,5,69,89,100yr5040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
177,1902,6,89,117,100yr5020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
178,1902,7,117,142,100yr4020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
179,1902,8,142," ",100yr4020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
180,1903,1,0,22,100yr2020," ",Loose,Loose,Nonplastic," ",Few,Fine," "," "," "," ",None,"Sub-angular blocky"," "," "," "," "," "," "," "," "
181,1903,2,22,62,100yr4030," ",Loose,Loose,Nonplastic," "," "," "," "," "," "," ",None,"Sub-angular blocky"," "," "," "," "," "," "," "," "
182,1903,3,62,77,"025y 6020"," ",Loose,Loose,Nonplastic," ",Common,Medium," "," "," "," ",None,"Sub-angular blocky"," "," "," "," "," "," "," ",Moderate
183,1903,4,77," ","025y 2030"," ",Loose,Loose,Nonplastic," "," "," "," "," "," "," ",None,"Sub-angular blocky"," "," "," "," "," "," "," ",Weak
184,1904,1,0,19,100yr2010," ",Loose,Friable,Slightly," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
185,1904,2,19,29,"050y 6030"," ",Loose,Loose,Nonplastic," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
186,1904,3,29,58,"050y 6010"," ",Loose,Loose,Nonplastic," ",Common,Medium," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
187,1904,4,58," ","050y 6010"," ",Loose,Loose,Nonplastic," ",Common,Medium," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
188,1905,1,0,17,100yr2010," ",Soft,Friable,Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
189,1905,2,17,29,"050y 4010"," ",Soft,Friable,Nonplastic," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
190,1905,3,29," ","025y 7040"," ",Loose,Loose,Nonplastic," ",Common,Medium," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
191,1906,1,0,10,100yr4020," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
192,1906,2,10,48,100yr5040," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
193,1906,3,48," ",100yr6040," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
194,1907,1,3,0,100yr2020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
195,1907,2,0,5,100yr4020," ",Hard,Friable," "," "," "," ",Many,Inped,Vertical,Medium,Moderate,Granular," ","Medium to coarse"," "," "," "," "," "," "
196,1907,3,5,20,100yr3020," ",Hard,Firm," "," "," "," ",Common,Inped,Vertical,Medium,Strong,Granular," ",Coarse," "," "," "," "," "," "
197,1907,4,20,31,100yr4030," ",Hard,Firm," "," "," "," ",Few,Inped,Vertical,Fine,Strong,Granular," ",Coarse," "," "," "," "," ",Weak
198,1907,5,31,41,100yr5030," ",Hard,Firm," "," "," "," ","Very few",Inped,Vertical,Fine,Strong,Granular," ",Coarse," "," "," "," "," ",Moderate
199,1907,6,41," ",100yr6030," ",Hard,Firm," "," "," "," ","Very few",Inped,Vertical,Fine,Strong,Granular," ",Coarse," "," "," "," "," ",Moderate
200,1909,2,0,1,050yr2020," "," "," "," ",Slightly," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
201,1909,3,1,20,050yr3030," "," "," "," ",Sticky," "," "," "," "," "," ",Moderate,"Angular blocky"," ",Medium," "," "," "," "," "," "
202,1909,4,20,25,075yr4040," "," "," "," ",Sticky," "," "," "," "," "," ",None," "," "," "," "," "," "," "," "," "
203,1909,5,25,76,025yr3040,100yr4040," "," ",Plastic,Sticky,Common," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
204,1909,6,76," ","025y 4020"," "," "," "," ",Sticky,Common,Coarse," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
205,1910,2,0,8,100yr3010," "," ",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
206,1910,3,8,25,050yr3020," "," ",Firm," "," "," "," "," "," "," "," ",Moderate,"Sub-angular blocky"," ",Medium," "," "," "," "," "," "
207,1910,4,25,31,"050y 4010"," "," ",Friable," "," ",Common," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Weak
208,1910,5,31,56,"025y 4040"," "," ",Friable," "," ",Common," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
209,1910,6,56," ","025y 5520"," "," ","Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
210,1911,2,0,15,100yr6010,100yr8010,Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
